"dti","annual_inc","revol_util","delinq_2yrs","loan_amnt"
7.11,55000,42.9,0,14000
21.01,46500,41.6,0,6500
16.38,48000,21.7,0,29625
28.39,67000,50.9,0,12000
30.34,19200,71,0,7075
12.91,29000,35.7,0,1000
9.46,25000,34.9,2,5400
13.18,67000,29.3,0,25000
7.64,27000,55.4,0,6000
17.4,45581,92.9,0,7000
30.65,52000,73,1,20000
27.54,40000,36.9,0,20000
9.16,68000,19.8,0,21000
12.17,42000,74,2,15000
10.68,40000,44.2,0,3000
15.43,49989,88,0,1000
9.07,66931,37.5,0,10000
14.59,13000,57.8,0,5000
17.48,30000,11.9,0,6000
25.61,52000,48.3,0,1200
0.84,35704,11.5,0,9600
28.55,38500,69,0,4800
14.9,60000,54.2,0,10000
23.94,35000,47.9,0,16000
28.01,56000,22.2,0,7200
11.09,46000,32.1,1,16000
15.49,57000,57.2,0,1000
0.44,67427,0.2,0,10000
9.74,26976,9.3,0,5000
10.17,57600,59.5,0,4000
10.88,44000,3.6,0,10000
30.05,52000,86.4,1,8000
25,64000,61.5,1,4000
17.18,60000,16.5,0,4000
22.18,57000,45.9,0,20000
16.21,45000,58.2,0,6600
28.93,38200,62.7,0,5000
4.29,16800,22.5,0,6025
30.45,65000,96.4,0,7000
32.29,63000,56.7,3,18000
21.53,51000,74.7,0,7000
11.13,62000,19.3,0,10000
20.05,65000,6.2,0,6000
13.75,60000,41.6,1,5000
20.88,60000,28.1,0,10000
15.09,42000,31.6,0,2500
17.17,39000,27.8,0,6000
15.27,65000,39.4,0,16000
13.8,60000,44.5,2,8000
2.72,30000,9.8,0,2200
12.6,30000,47.3,0,7000
9.89,65000,61.5,0,10000
28.1,36000,58.8,0,14000
13.05,55000,11.7,0,8000
20.09,50000,57.3,0,8400
14.33,26000,10.8,0,3600
11.36,56000,55.3,0,16800
16.43,52000,69.2,0,3600
10.18,39000,0,0,1000
29.95,47800,83.3,0,16800
27.69,42000,19.9,0,6500
13.92,40000,35.5,0,6500
21.73,55000,69.6,0,12000
16.08,55000,23.8,0,40000
30.39,52000,71.5,0,31000
26.03,38000,36.2,1,20000
22,51000,13,0,21000
4.7,35000,59.6,0,1600
19.5,32000,32.2,0,13000
25.71,50000,28.6,0,25000
24.82,64600,83.5,6,2000
1.2,25000,31.7,0,15000
13.87,68000,51.1,0,18000
27.49,42000,42.1,1,12000
19.52,50000,57,0,30000
23.89,53000,7.9,0,36425
7.89,35140,17.6,0,5000
31.99,56500,70.5,0,6000
21.7,36000,32.7,0,3000
19.1,60000,7.3,0,4000
30.47,65000,31.4,0,20000
11.86,58000,13.9,0,5000
16.9,34000,46,0,10000
20.93,62000,45.7,0,10000
24.95,24000,36.4,0,2700
28.8,55000,60.8,0,12000
7.34,54000,52.6,0,10000
14.95,57000,19.5,0,7500
21.52,55758,23.7,0,25000
26.64,50000,72.2,0,20075
18.49,65000,17.3,0,15000
7.53,21600,46.8,0,6025
20.78,60000,72.8,0,1000
24.11,30000,37.8,1,5000
12.81,62000,49.2,0,15000
21.04,70000,48.6,0,14400
21.86,63000,51.1,0,15000
30.07,55000,63.1,0,20000
29.76,51000,44.2,1,10000
22.85,50000,31.2,0,12000
28.17,25400,69.2,0,9000
16.82,60000,44.9,0,10000
31.11,38000,15.2,0,12000
26.16,40000,9.4,0,10000
22.81,38979,7.2,0,7000
14.4,65000,5.2,0,40000
23.52,65000,37.9,0,40000
6.14,70000,40.1,0,15000
15.96,60000,50,0,11000
7.92,25000,65,2,10000
19.1,26000,7.6,0,7000
18.95,23000,45,1,6600
9.4,35000,23.5,0,3000
22.76,33000,18.4,1,13000
26.86,55000,43.5,1,10000
5.37,40000,43.2,0,4000
26.4,42900,2.1,0,16000
24,65000,33.5,0,16000
24.6,40000,59.8,0,8250
17.1,40000,47.6,0,21000
11.67,55000,68.8,0,12000
8.41,55400,40,0,10000
25.54,60000,37.3,0,20000
23.44,66000,78.4,0,11025
5.95,13520,15.1,0,2200
11.86,60000,41.1,0,12000
27.15,50000,35.2,0,15000
4.14,64000,50.3,0,10000
22.56,50000,9.4,3,20000
12.63,40000,5,0,4000
20.78,26000,14.7,0,10000
22.1,55000,63.4,0,10000
11.46,49000,82.4,0,2000
8.68,60000,56.7,0,15000
21.37,57000,31,1,20000
28.52,60000,31.4,0,20000
13.23,40000,68.3,0,7150
22.96,54254,53.4,0,27200
19.15,45000,21.3,0,20000
24.84,51320,35.5,0,8000
31.53,55000,18.5,0,22000
23.95,56810,45,0,15400
8.99,55000,22.6,0,10000
10.27,70000,73.1,0,20000
29.41,54996,32.6,0,20000
22.12,60000,98.5,0,30000
32.38,57200,46.7,0,20000
16.77,46500,90.3,0,2200
31.03,32484,63.9,0,6000
17.63,45000,53.1,0,14000
16.22,45000,0,3,11000
13.99,50000,45.6,0,12000
8.04,50000,40.3,0,5000
5.2,54000,45.1,0,15500
29.82,40000,61.1,0,3200
18.63,50000,30.2,0,8000
11.38,26880,20.8,0,9500
16.01,67000,23.6,0,4000
6.71,59900,34.6,0,6200
8.67,22000,8.4,0,5000
19.82,54000,36.1,1,11000
24.51,40000,24.1,0,10000
14.03,35000,95.2,2,8000
22,65000,12.6,0,15000
28.48,56000,29.5,0,10000
19.88,55000,5,0,12950
24.25,47308,52,1,12000
10.18,60000,21,0,15000
30.53,55000,9.1,0,13000
14.72,23903,64,0,10000
32.79,19000,0.3,0,13000
6.23,25440,18.3,0,5000
13.19,68500,97.7,0,30000
28.8,50000,70.2,0,9900
27.77,65000,60.6,0,16000
19.03,35000,37.1,0,9600
10.17,55000,37.6,0,25000
12.19,32000,44.7,0,20000
30.65,27140,30.9,0,24900
10.72,60000,31.9,0,11000
15.85,57000,49.5,0,10300
7.98,54000,17.7,0,1700
24.49,68000,41,0,5800
26.97,59000,58.1,0,30000
28.48,60000,34.2,2,35000
25.53,40000,35.8,0,6000
11.76,51000,33.6,0,32000
5.9,11000,36.6,0,1950
15.49,17670,11.7,0,3000
29.35,65000,49.3,0,14000
8.85,48000,46.1,0,20000
17.88,29000,93.2,0,2500
13.3,50000,5.4,0,10000
28.34,52000,73.6,0,10000
7.12,35000,25.5,0,10000
25.84,64000,44.6,1,8000
13.99,61500,22.1,0,10000
21.17,58000,18.3,0,10450
12.37,65000,49.6,0,10000
15.94,46000,19.5,0,16000
22.57,35000,45.9,0,13000
15.4,67000,1.3,0,6500
27.22,59000,19,0,20000
28.03,53000,39.2,0,4500
6.34,42000,49.8,0,10000
24.9,37500,4.5,0,2500
19.78,27064,23.9,0,10000
20.92,49000,39.2,0,12000
4.68,50000,14.4,0,5000
17.7,28000,40.7,1,15000
8.55,56000,6.4,0,3000
14.7,40000,55.8,1,10000
19.87,57000,60.8,0,25000
30.18,57000,32.8,0,14000
5.86,43000,35,2,16000
10.56,65000,18.1,0,3500
13.1,11088,27.8,0,13500
30.33,70000,15.4,0,38500
27.48,39000,25.5,0,15000
17.62,70000,45.4,0,5000
23.31,45000,44.4,1,7025
18.31,15600,91.5,0,15000
17.01,70000,73.7,0,20000
21.64,54000,63.3,0,15000
19.4,30000,17.5,0,6000
23.75,55000,76.1,0,30000
10.82,55000,66.9,0,5000
23.17,53000,43,0,20000
18.62,47000,69.6,5,2000
10.61,70000,37.4,0,10000
5.58,52000,100.8,0,8000
16.5,36000,4,0,3000
27.81,58000,16.2,0,10000
17.75,43000,49.4,0,7000
4.78,52000,52.7,0,7200
8.96,26000,52,0,5300
22.64,50000,13,0,11200
23.23,37500,25.8,0,5600
24.24,40000,66.3,0,10000
15.18,46737,96.2,0,5000
4.92,40000,48.9,0,9000
28,64000,66.6,1,12400
10.15,52000,4.9,0,35000
18.96,34000,10.5,0,5000
29.22,29000,14.9,0,7650
27.16,43000,98,0,6000
9.95,35000,72.1,0,10000
22.66,58000,84.5,0,20000
17.26,60000,43.6,0,24000
24.1,66000,51.7,0,30000
18.45,48000,20.4,0,11700
17.71,50000,0,0,25000
8.31,40000,14,0,7800
28.44,54000,57.5,0,28000
1.31,32000,1.7,0,19700
25.09,54000,18.9,0,10000
2.68,51500,19.8,0,10500
26.12,47000,37.5,1,9000
15.84,35000,59.8,0,16000
8.74,43000,44.8,0,8400
5.76,39409,19,0,3375
6.57,40000,43.5,0,5500
8.53,63000,33.3,0,8000
12.25,60000,21.8,1,10000
16.42,60000,82.1,0,20000
23.38,66000,55.9,0,10400
13.44,30000,55.8,0,10450
3.77,35000,24.7,0,6000
27.77,59999,41.7,0,10800
29.03,67000,54,0,8500
20.81,50000,44.2,0,12000
13.35,55000,70.8,0,30000
28.8,34500,42.4,0,3500
19.92,62000,30.4,0,15000
7.38,40000,23,0,2800
11.91,25000,8.5,0,7000
31.71,48400,33.6,0,20000
13.99,50000,20.7,0,10000
21.68,45000,78.8,0,11000
23.65,68000,3.1,0,29050
22.32,50000,45,0,20000
20.36,50000,38,0,15500
24.18,42140,5.8,0,1000
11.52,47000,18.6,0,3000
11.57,45000,33.1,0,1500
32.64,65000,66.7,0,22000
8.79,50000,33.6,0,6000
13.76,64000,49.6,1,6000
19.04,60000,16,0,10000
5.89,45000,82.9,0,4500
13.82,43000,61.4,0,16000
28.7,70000,39.2,0,40000
18.05,45000,95.4,0,5000
24.75,50000,25.3,1,10000
14.6,48000,59.8,0,16000
24.77,36000,24.7,0,7000
17.28,68000,80.1,0,20000
12.62,60000,46.2,3,12600
18.65,39000,98.7,0,4800
15.36,60000,41.3,0,16000
18.7,55000,16,0,5000
30.8,35000,39.9,0,1200
23.52,32000,50.3,0,7000
29.82,60000,38,0,12700
9.94,60000,12.1,0,3500
28.89,40000,24.9,0,11000
9.24,54000,9.5,0,9000
27.11,58000,69.5,0,18000
11.64,50000,25.9,0,16500
13.67,53188,17.6,0,8000
15.65,68000,41.8,0,12500
16.21,61000,48.5,0,15000
9.02,60000,11.4,1,15000
16.26,22000,23.2,0,8000
25.77,69000,3.3,0,6000
23.48,60000,52.9,0,12000
19.63,48000,17.4,0,9000
19.29,70000,55.3,0,14000
8,60000,10.3,0,7500
18.83,36000,20.7,0,5000
21.17,47000,33.4,0,5000
12.85,45000,37.5,0,4400
23.28,50000,87.3,0,6000
12.77,50000,7.7,0,32000
9.26,29159,9.8,0,6000
7.96,35000,1.7,0,15000
9.48,30000,41,0,5000
26.21,50000,0.2,3,12000
9.52,60000,25.1,0,6000
22.62,40000,46.6,0,19000
1.81,57000,14,0,7500
3.64,33000,91.7,0,5000
18.21,45000,10.8,0,3600
23.61,70000,60.5,1,22000
16.43,48000,12.8,0,2400
13.94,54000,35.3,0,6000
22.17,50000,72.4,0,7400
29.74,50000,25.4,0,16000
19.68,40000,37.8,0,6000
24.51,45000,37.7,0,13000
14.99,30000,29.6,0,15000
23.88,58300,84.9,0,18000
5.47,68000,39.2,0,10000
25.89,65000,53.4,1,10000
17.17,65000,82.2,0,12000
14.85,35000,15.1,0,12000
19.02,40000,60.7,0,6025
30.6,30000,45.1,0,15000
9.98,60000,8.8,0,16000
7.35,50000,55.5,0,4000
11.72,55000,38.4,0,7000
28.95,53000,47.6,0,12500
20.94,67000,79.2,0,12000
10.08,38000,14,0,15000
26.04,45500,4.9,0,25000
25.13,65000,52.8,3,6000
24.89,51000,44.6,2,6000
17.97,68000,26.5,0,8800
22.3,65000,62.4,2,10000
19.73,36000,94.6,0,10000
16.56,45000,69.4,0,26000
16.78,62000,28.3,0,14000
20.99,51000,22.1,0,9350
23.42,70000,44,0,7500
18.5,56000,67.5,3,20000
26.1,35000,34.8,0,15000
18.62,56000,9.3,0,7300
18.59,55000,32,0,7000
31.54,70000,58,0,35000
24.16,45000,83.3,0,4000
11.2,69000,69,0,25000
16.04,54000,34.3,0,9500
19.6,70000,48.4,0,10000
22.65,62000,57.7,0,15500
17.42,65000,36.4,0,20000
11.8,57870,70.3,8,15000
23,30000,20.9,0,15000
27.27,40000,42.1,0,7800
9.69,70000,67.5,0,20000
20.05,45000,57.5,0,10000
14.59,70000,47,0,10000
25.04,50000,19.9,0,1900
12.38,48000,31.2,0,15000
23.38,25000,35.1,2,5500
19.72,60000,40.1,0,17000
21.41,70000,40.1,0,17000
28.68,30000,1.2,0,3500
19.87,65000,34,0,10000
29.23,55000,40.1,0,2000
20.28,50000,5.6,0,6000
8.93,70000,46.6,0,15000
24.73,56000,58.4,0,11000
12.08,50880,19.8,0,15000
11.8,35000,35.9,0,20000
17.03,62000,63.8,1,20000
27.44,15000,98.3,0,5000
15.82,56000,57.8,0,15000
12.15,38211,65.2,0,18000
11.73,22000,24.6,0,4000
29.31,63500,47.4,0,6000
28.91,43500,42.2,0,25000
15.36,60000,72.3,0,10000
20.16,45000,60.9,0,4000
8.13,22000,23.4,0,6000
11.43,50000,32,0,9500
13.37,65520,21.4,0,6000
2.81,35000,27.1,0,4000
5.93,35000,12.8,0,2400
19.5,42588,42.4,0,7000
18.45,26022,46.7,0,11000
22.23,42000,63.2,0,25000
16.12,60000,35.7,0,7500
19.22,60000,87.6,0,30000
13.92,52000,26.1,0,7000
17.16,63000,72.7,0,13000
25.82,53000,15.8,4,10000
17.63,32000,8.7,0,16000
15.36,40000,7.2,0,4800
29.6,63404,44.8,0,22900
26.15,37440,64.1,0,10000
14.31,25000,47,0,6000
24.32,45000,96.7,0,1000
18.84,50000,59.1,0,10000
18.99,28620,14.2,0,4300
18.65,65000,45.4,0,16000
13.27,69200,26.5,0,30000
13.2,70000,49,0,7000
23.11,55000,23.6,0,12000
21.75,39000,59.5,0,5500
18.44,55000,77,0,12000
17.73,40000,23.6,2,6000
23.07,50000,54,0,10000
20.82,60000,48.6,0,8000
17.63,42000,2.1,0,15000
21.28,60000,38.5,0,17000
10.74,58000,15.1,0,28000
7.54,35000,72.4,0,10000
31.56,43805,72.8,0,11000
16.46,60000,75.7,0,18000
8.82,66000,37.4,0,24000
24.34,47000,58.5,0,15000
25.43,68000,17.7,0,11000
25.35,39000,10.3,1,13000
4.72,30000,56.2,0,5000
28.51,62000,32.3,0,16000
14.3,24000,49.8,0,11000
8.78,38000,0.3,0,4000
15.79,45000,46,0,20000
28.5,48000,31.3,1,10000
11.25,62000,35.7,0,18000
31.82,35000,39.5,0,25000
12.62,62000,39.9,2,8000
11.83,35000,62.9,0,6000
19.06,68000,86.6,0,6500
26.18,65000,43.6,0,23000
15.81,70000,52.7,0,25000
25.16,52000,9.8,0,16500
14.47,45000,2.5,0,9000
29.98,62000,96.2,0,22000
13.84,70000,29.7,0,6000
15.36,65000,51.1,0,12000
16.73,69000,16.6,0,10000
23.49,70000,73.7,0,20000
23.66,45900,73.6,0,12500
28.38,40000,41.4,1,5000
18.46,63000,66.5,1,13000
6.46,60000,22.6,0,10000
4.34,50000,39.7,0,10000
8.96,39624,16.3,0,12000
13.6,60000,66.9,0,8000
16.37,65000,26.5,0,20000
14.9,24000,23.9,0,5000
7.78,54000,2,0,2400
19.2,55000,24.4,0,15000
5.2,51200,26.2,0,10000
11.17,40400,0,0,30000
14.05,59280,17.4,0,6000
6.84,30000,21,0,10000
26.07,32400,14.2,0,10000
16.89,55000,45.3,0,12000
14.37,42000,21.1,0,15000
16.69,54000,54.8,0,6500
0.05,24000,0,0,8000
18.75,67000,44.8,0,18000
15.26,70000,85.1,0,30000
25.52,50000,57.4,0,30000
25.4,42000,41.6,0,12500
11.32,55000,20.2,2,12000
14.66,65000,14.1,0,16000
9.2,54000,5.3,0,12000
27.62,62000,44,0,15000
30.11,59500,33.9,0,1000
24.95,33000,35.5,0,9000
13.81,55000,40.3,0,5000
12.05,50000,47.4,0,15000
21.13,20000,49.4,0,3000
23.49,52000,27.8,0,8500
12.75,37000,57.6,0,4000
24.59,55000,33.6,0,13000
11.62,47000,98.3,0,10000
22.95,65000,47.7,0,16000
27.19,35000,18.4,0,8000
8.88,55000,28,0,12000
31,58000,41.3,0,18000
21.42,40000,41.7,0,8000
28.63,54080,65.6,0,17000
4.02,51000,76.2,0,5000
22.92,60000,18,0,4200
13.89,48632,60.7,0,6000
17.08,65000,22.9,0,5000
16.6,47500,45.1,0,10000
18.97,58000,76.8,0,17000
20.67,68000,57.1,0,13000
23.54,55000,51,0,16000
22.47,67880,74.1,0,9925
6.72,63000,0.5,2,2500
29.6,35000,36.3,0,12000
11.88,40000,43.2,1,5000
21.33,47158,30.1,0,10000
29.38,53000,47.7,0,20000
6.28,30000,30.4,0,15000
9.38,54000,13.9,1,2500
7.32,40000,0.1,0,5000
20.55,50000,63.4,0,10000
19.94,44000,54.2,0,14000
19.7,60000,30.8,0,35000
25.78,33000,54.8,0,12600
23.8,30000,53.2,0,10000
27.44,50000,27.3,0,8425
5.66,62500,35.6,0,8000
8.44,62000,22.1,0,5000
9.01,45000,35.5,0,4000
26.2,30000,51.5,0,8500
30.34,56563,0.1,0,19000
4.02,52000,35.6,0,3450
9.04,30000,14.2,0,10000
21.96,40000,34.5,0,10200
29.36,45000,45.7,0,12000
13.98,70000,81.4,0,20000
19.54,32000,30.3,0,1500
26.11,32500,7.5,0,25000
19.92,70000,46.4,1,12000
10.39,50000,41.8,0,10000
4.77,35000,8.8,0,10000
28.64,51000,65.6,0,12500
18.41,50000,58.9,0,25000
21.7,36000,18.9,0,6000
20.63,52000,39.8,0,28000
15.92,67000,98.6,0,6000
3.17,56100,18.1,0,10500
14.46,40320,22.1,0,6000
22.87,53000,22.9,0,15000
28.11,52000,8.1,0,20000
18.47,33000,43.3,1,5000
19.38,54000,57.5,0,15000
8.13,40000,33.2,0,2000
10.33,59000,2.5,0,2400
25.57,50000,18.9,0,10000
8.62,56420,84.9,0,14500
20.9,55000,98.8,2,1000
6.79,56000,84.8,0,4000
18.09,70000,51.7,0,18500
10.78,36300,32,0,3000
10.95,50000,60.9,0,10000
24.7,60000,45.1,0,35000
10.28,65000,11.7,0,7200
14.96,45000,12.2,0,10000
15.78,60000,28.9,0,40000
13.4,49000,29.5,1,28500
25.94,23000,95.5,0,3000
20.68,48000,36.5,0,4000
15.34,47000,30.4,0,9000
10.04,41000,13.5,0,7000
31.1,60000,20.7,0,11600
24.12,50000,22.2,0,7500
18.15,39616,42.4,0,6250
8.16,40000,44.2,0,5500
10.44,40000,21.6,0,8000
27.73,66000,82.2,0,6000
7.18,58000,33.6,0,11000
14.96,40000,89.8,0,20000
9.79,70000,65.2,0,3300
14.17,42000,19.7,0,5000
12.64,28000,60.3,0,4800
15.93,45000,11.6,0,21000
8.88,70000,57.6,0,20000
28.5,52000,57.3,0,12000
14.29,62000,25,0,12000
27.85,20944,77.4,0,9000
8.13,46800,6.3,0,16000
3.12,40000,64.9,0,3000
12.44,68000,24.5,0,8000
20.14,50000,59.9,0,15000
9.75,25000,79.4,0,5000
22.03,45000,13.6,0,6600
31.01,70000,25.4,0,15000
15.24,27000,11.1,0,15000
13.83,60000,75.9,0,3500
24.35,65000,32.5,0,16000
11.13,52166,71.2,1,5000
23.51,58000,99.7,4,1200
2.53,45000,7.5,0,10000
24.53,54000,75.1,0,9000
18.88,45000,20.4,0,2500
7.02,20000,78,0,4000
11.7,55000,65.9,1,15000
26.95,69780,74.8,0,10000
17.49,33000,85.6,0,15000
16.35,40000,45.2,0,10000
10.95,33750,26.6,0,8500
22.58,32100,60.8,0,19000
17.56,65000,47.2,0,12000
31.17,31000,22,0,8000
13.64,55000,12.6,0,20000
4.86,60000,34,0,40000
7.57,36000,19,0,25000
1.99,50000,28.9,1,12000
16.94,60000,46.7,1,7000
20.04,40000,36.3,0,12000
19.54,57000,93,1,22000
28.75,43000,26.7,0,4000
9.54,37000,21,0,10000
24.4,42000,68.3,1,8500
21.02,70000,83.5,0,24000
13.28,58000,17.8,0,4400
12.46,65000,66.1,1,28000
24.02,41600,25.9,1,5000
10.69,33000,80.4,0,13000
15.33,35000,39.2,0,20000
19.07,18000,28.1,0,10000
28.67,46800,54.1,0,10000
30.18,67000,61.5,0,11200
28.24,70000,60.9,0,30000
19.49,58000,38.5,0,40000
0,17000,0,0,4100
17.33,48000,69.4,0,4000
23.13,33566,66.5,0,8500
6.31,35000,12.7,0,1400
17.1,32000,30.3,0,20000
13.75,44000,67,0,16000
0.74,40320,14.8,0,5575
8.88,33384,56.2,1,12000
18.62,58000,10.2,0,22000
28.05,68700,77.6,0,3200
20.75,45000,39.7,0,13000
14.34,55000,43.5,3,4000
23.98,57948,36.2,0,24000
15.81,52000,80.3,1,5500
10.42,50000,48.8,0,8000
11.77,68000,81,0,22400
6.06,20000,53.9,0,20000
24.24,40000,21.4,0,14000
24.7,26000,23.5,0,10000
18.19,65000,1.4,1,27500
8.53,65000,8.8,0,18000
1.22,49000,0.3,0,20500
11.52,38138,34.4,4,6500
21.12,60000,39.6,0,10000
14.08,45000,54.4,2,15000
24.26,60000,66.1,0,23000
32.56,46000,82.4,0,15000
12.48,20000,12.5,0,8000
19.47,45000,48.6,0,12000
24.45,62000,5.3,0,4800
13.72,53796,22.9,0,1300
22.99,51000,14.8,0,2800
16.1,55000,48.6,0,7000
14.77,45000,18.2,0,9400
4.39,26000,5.8,0,1600
5.36,41000,13.3,0,12000
6.72,30000,16.2,0,5500
2.47,55000,46.7,0,15000
25.41,60000,31.5,0,26500
5.74,69000,26,0,12500
29.68,29000,22.2,0,1500
9.9,16000,32.5,0,2500
28.78,60000,20.8,0,10000
8.56,60000,55.9,0,14000
25.17,40000,31.9,0,7000
27.68,30000,23.9,0,6000
5.41,55000,76.8,0,10000
26.8,45000,24.5,0,8000
21.89,25000,75.3,0,6000
21.33,16092,53.4,0,1000
20.3,35000,41.4,0,6050
13.72,70000,49.4,0,15000
31.77,45000,45,0,10000
8.73,59000,60.9,0,9000
20.58,55000,39.4,0,10000
29.64,50000,57.9,0,3000
30.64,60000,72.6,0,10000
23.14,70000,75.1,1,30000
15.02,60000,75.1,2,5000
20.75,52000,39.4,0,10000
6.74,55000,42.6,0,10000
5.76,70000,34.2,0,8000
26.66,29000,28.6,0,5500
3.07,50000,23.8,0,3600
31.94,55000,18.2,0,20000
31.03,41000,36,0,10000
4.2,60000,13.4,0,3000
6.16,45000,70.2,0,7500
2.92,39000,2.7,0,6600
30.35,41600,54.1,0,20000
30.46,50000,80,2,5000
16.09,42000,30.6,0,10000
19.08,40000,35.2,0,32475
29.26,60000,54.7,1,20000
16.75,51000,3.4,0,19800
14.07,68000,31.3,0,10000
32.62,63751,9.5,0,11500
18.92,56000,46.1,0,10000
30.78,62000,57,0,16000
19.84,68000,61.2,0,15000
23.19,25000,96,0,8750
4.87,35000,22.4,0,10000
17.53,55644,53.5,0,10000
27.24,40000,54.9,0,20000
13.68,35000,11,0,10000
16.25,63500,91.3,0,15000
19.38,58080,50.4,0,11000
16.44,56000,11.1,0,4000
19.07,45000,28.9,0,26000
18.52,60000,21.2,0,8800
10.09,39000,30.3,0,13000
18.03,64000,30.7,0,30000
25.75,50000,58.4,0,30000
12.75,48000,26.4,0,2500
17.42,60000,62.2,0,26000
8.26,68000,30,2,10000
14.9,58000,23.7,0,28000
9.24,70000,52.2,0,10700
20.65,58000,2.6,0,30000
7.89,63000,46.9,1,8000
28.54,46000,50,0,6800
15.82,55000,81.5,0,1200
20.61,53000,71.2,0,20000
23.65,44000,82.3,0,25000
21.1,50000,64.7,0,36000
19.09,41000,14.7,0,6500
29.54,55000,65,0,9000
24.44,22000,17.2,0,12000
18.7,50000,40.2,0,10000
14.33,51000,47.6,0,4500
6.34,27996,8.2,0,3000
1.32,70000,8.8,0,40000
31.03,58812,80.7,0,25000
13.84,27500,55.1,0,10800
17.35,57000,77.2,0,7200
28.74,40000,57.9,0,10000
3.7,25000,4.8,0,10000
27.57,67500,38.4,0,10000
23.39,35000,1.7,0,15000
10.78,32000,45.7,0,1800
7.15,45000,6.6,0,9000
12.92,60000,22,0,35000
23.49,35000,11.9,0,7000
22.97,65000,89.6,0,21000
19.37,50000,86.5,16,4900
25.84,60000,64.3,0,3000
29.79,56000,65.4,0,5400
7.94,47000,49.3,0,8000
2.78,25000,17.7,0,5000
5.94,55000,0,0,7000
22.35,19110.59,28.9,0,1000
28.95,59000,35.6,0,8400
14,45000,68.6,0,5000
28.12,31200,16.3,0,1500
1.07,28000,4.4,0,6000
24.53,57000,33.3,0,19500
23.97,67000,50.3,0,15000
16,38624,74.9,0,20000
12.43,28000,41.2,0,2000
17.92,62000,65.8,0,32000
11.71,45000,52.1,4,19000
22.72,60000,20.2,0,20000
20.17,47000,64.1,0,20000
4.18,60000,45.5,0,15000
29.45,61000,80.3,1,22000
16.55,53000,54.1,0,10000
27.73,45000,66.6,0,20000
19.35,40000,37.3,0,7000
19.56,38400,41.3,0,14000
20.85,51000,59.2,0,11000
16.77,32000,70.8,1,13000
15.89,29000,79.1,0,10000
6.35,45000,75.9,0,8000
28.29,38259,9.3,0,10000
18.27,59260,43,0,14400
18.26,52000,34.8,0,18000
25.09,65000,13.2,0,4000
14.19,63000,39.8,0,19000
14.16,60000,55.9,0,5000
29.59,46000,21.4,0,2000
24.61,32000,43.8,0,16000
